DATE,Aantal Covid-overlijdens,Aantal Covid-overlijdens opgeteld
2022-03-02,21,30250
2022-03-03,16,30266
2022-03-04,22,30288
2022-03-05,18,30306
2022-03-06,9,30315
2022-03-07,14,30329
2022-03-08,30,30359
2022-03-09,24,30383
2022-03-10,18,30401
2022-03-11,28,30429
2022-03-12,18,30447
2022-03-13,12,30459
2022-03-14,24,30483
2022-03-15,16,30499
2022-03-16,18,30517
2022-03-17,22,30539
2022-03-18,20,30559
2022-03-19,16,30575
2022-03-20,18,30593
2022-03-21,28,30621
2022-03-22,20,30641
2022-03-23,28,30669
2022-03-24,21,30690
2022-03-25,21,30711
2022-03-26,25,30736
2022-03-27,20,30756
2022-03-28,26,30782
2022-03-29,25,30807
2022-03-30,26,30833
2022-03-31,24,30857
2022-04-01,23,30880
2022-04-02,21,30901
2022-04-03,22,30923
2022-04-04,28,30951
2022-04-05,22,30973
2022-04-06,31,31004
2022-04-07,16,31020
2022-04-08,36,31056
2022-04-09,17,31073
2022-04-10,20,31093
2022-04-11,25,31118
2022-04-12,23,31141
2022-04-13,27,31168
2022-04-14,21,31189
2022-04-15,31,31220
2022-04-16,29,31249
2022-04-17,15,31264
2022-04-18,15,31279
2022-04-19,19,31298
2022-04-20,20,31318
2022-04-21,19,31337
2022-04-22,21,31358
2022-04-23,8,31366
2022-04-24,24,31390
2022-04-25,16,31406
2022-04-26,18,31424
2022-04-27,14,31438
2022-04-28,16,31454
2022-04-29,15,31469
2022-04-30,17,31486
2022-05-01,15,31501
2022-05-02,22,31523
2022-05-03,13,31536
2022-05-04,17,31553
2022-05-05,9,31562
2022-05-06,13,31575
2022-05-07,9,31584
2022-05-08,6,31590
2022-05-09,12,31602
2022-05-10,12,31614
2022-05-11,10,31624
2022-05-12,9,31633
2022-05-13,6,31639
2022-05-14,12,31651
2022-05-15,9,31660
2022-05-16,5,31665
2022-05-17,11,31676
2022-05-18,8,31684
2022-05-19,7,31691
2022-05-20,6,31697
2022-05-21,9,31706
2022-05-22,7,31713
2022-05-23,4,31717
2022-05-24,9,31726
